2025-09-18 18:57:39,111 - INFO - KVSS Server đã khởi động tại 127.0.0.1:5050
2025-09-18 18:57:56,571 - ERROR - Lỗi khởi động server: [Errno 48] Address already in use
2025-09-18 18:57:57,574 - INFO - Kết nối mới từ ('127.0.0.1', 53171)
2025-09-18 18:57:57,574 - INFO - Request từ ('127.0.0.1', 53171): KV/1.0 PUT user42 Alice
2025-09-18 18:57:57,575 - INFO - Response tới ('127.0.0.1', 53171): 201 CREATED
2025-09-18 18:57:57,575 - INFO - Đã đóng kết nối với ('127.0.0.1', 53171)
2025-09-18 18:57:57,575 - INFO - Kết nối mới từ ('127.0.0.1', 53172)
2025-09-18 18:57:57,575 - INFO - Request từ ('127.0.0.1', 53172): KV/1.0 GET user42
2025-09-18 18:57:57,575 - INFO - Response tới ('127.0.0.1', 53172): 200 OK Alice
2025-09-18 18:57:57,575 - INFO - Đã đóng kết nối với ('127.0.0.1', 53172)
2025-09-18 18:57:57,575 - INFO - Kết nối mới từ ('127.0.0.1', 53173)
2025-09-18 18:57:57,576 - INFO - Request từ ('127.0.0.1', 53173): KV/1.0 PUT user42 Bob
2025-09-18 18:57:57,576 - INFO - Response tới ('127.0.0.1', 53173): 200 OK
2025-09-18 18:57:57,576 - INFO - Đã đóng kết nối với ('127.0.0.1', 53173)
2025-09-18 18:57:57,576 - INFO - Kết nối mới từ ('127.0.0.1', 53174)
2025-09-18 18:57:57,576 - INFO - Request từ ('127.0.0.1', 53174): KV/1.0 DEL user42
2025-09-18 18:57:57,576 - INFO - Response tới ('127.0.0.1', 53174): 204 NO_CONTENT
2025-09-18 18:57:57,576 - INFO - Đã đóng kết nối với ('127.0.0.1', 53174)
2025-09-18 18:57:57,576 - INFO - Kết nối mới từ ('127.0.0.1', 53175)
2025-09-18 18:57:57,576 - INFO - Request từ ('127.0.0.1', 53175): KV/1.0 GET user42
2025-09-18 18:57:57,576 - INFO - Response tới ('127.0.0.1', 53175): 404 NOT_FOUND
2025-09-18 18:57:57,576 - INFO - Đã đóng kết nối với ('127.0.0.1', 53175)
2025-09-18 18:57:57,576 - INFO - Kết nối mới từ ('127.0.0.1', 53176)
2025-09-18 18:57:57,576 - INFO - Request từ ('127.0.0.1', 53176): KV/1.0 DEL user42
2025-09-18 18:57:57,576 - INFO - Response tới ('127.0.0.1', 53176): 404 NOT_FOUND
2025-09-18 18:57:57,576 - INFO - Đã đóng kết nối với ('127.0.0.1', 53176)
2025-09-18 18:57:57,576 - INFO - Kết nối mới từ ('127.0.0.1', 53177)
2025-09-18 18:57:57,577 - INFO - Request từ ('127.0.0.1', 53177): KV/1.0 STATS
2025-09-18 18:57:57,577 - INFO - Response tới ('127.0.0.1', 53177): 200 OK keys=0 uptime=18s served=7
2025-09-18 18:57:57,577 - INFO - Đã đóng kết nối với ('127.0.0.1', 53177)
2025-09-18 18:57:57,577 - INFO - Kết nối mới từ ('127.0.0.1', 53178)
2025-09-18 18:57:57,577 - INFO - Request từ ('127.0.0.1', 53178): PUT user43 Charlie
2025-09-18 18:57:57,577 - INFO - Response tới ('127.0.0.1', 53178): 426 UPGRADE_REQUIRED
2025-09-18 18:57:57,577 - INFO - Đã đóng kết nối với ('127.0.0.1', 53178)
2025-09-18 18:57:57,577 - INFO - Kết nối mới từ ('127.0.0.1', 53179)
2025-09-18 18:57:57,577 - INFO - Request từ ('127.0.0.1', 53179): KV/1.0 PUT user44
2025-09-18 18:57:57,577 - INFO - Response tới ('127.0.0.1', 53179): 400 BAD_REQUEST
2025-09-18 18:57:57,577 - INFO - Đã đóng kết nối với ('127.0.0.1', 53179)
2025-09-18 18:57:57,577 - INFO - Kết nối mới từ ('127.0.0.1', 53180)
2025-09-18 18:57:57,577 - INFO - Request từ ('127.0.0.1', 53180): KV/1.0 POTT user45 David
2025-09-18 18:57:57,577 - INFO - Response tới ('127.0.0.1', 53180): 400 BAD_REQUEST
2025-09-18 18:57:57,577 - INFO - Đã đóng kết nối với ('127.0.0.1', 53180)
2025-09-18 18:57:57,577 - INFO - Kết nối mới từ ('127.0.0.1', 53181)
2025-09-18 18:57:57,577 - INFO - Request từ ('127.0.0.1', 53181): KV/1.0 QUIT
2025-09-18 18:57:57,578 - INFO - Response tới ('127.0.0.1', 53181): 200 OK bye
2025-09-18 18:57:57,578 - INFO - Đã đóng kết nối với ('127.0.0.1', 53181)
2025-09-18 18:58:05,347 - INFO - Kết nối mới từ ('127.0.0.1', 53222)
2025-09-18 18:58:05,347 - INFO - Request từ ('127.0.0.1', 53222): KV/1.0 PUT user42 Alice
2025-09-18 18:58:05,347 - INFO - Response tới ('127.0.0.1', 53222): 201 CREATED
2025-09-18 18:58:05,347 - INFO - Request từ ('127.0.0.1', 53222): KV/1.0 GET user42
2025-09-18 18:58:05,347 - INFO - Response tới ('127.0.0.1', 53222): 200 OK Alice
2025-09-18 18:58:05,347 - INFO - Request từ ('127.0.0.1', 53222): KV/1.0 PUT user43 Bob
2025-09-18 18:58:05,347 - INFO - Response tới ('127.0.0.1', 53222): 201 CREATED
2025-09-18 18:58:05,347 - INFO - Request từ ('127.0.0.1', 53222): KV/1.0 STATS
2025-09-18 18:58:05,347 - INFO - Response tới ('127.0.0.1', 53222): 200 OK keys=2 uptime=26s served=15
2025-09-18 18:58:05,347 - INFO - Request từ ('127.0.0.1', 53222): KV/1.0 DEL user42
2025-09-18 18:58:05,347 - INFO - Response tới ('127.0.0.1', 53222): 204 NO_CONTENT
2025-09-18 18:58:05,347 - INFO - Request từ ('127.0.0.1', 53222): KV/1.0 GET user42
2025-09-18 18:58:05,347 - INFO - Response tới ('127.0.0.1', 53222): 404 NOT_FOUND
2025-09-18 18:58:05,347 - INFO - Request từ ('127.0.0.1', 53222): KV/1.0 STATS
2025-09-18 18:58:05,347 - INFO - Response tới ('127.0.0.1', 53222): 200 OK keys=1 uptime=26s served=18
2025-09-18 18:58:05,348 - INFO - Request từ ('127.0.0.1', 53222): KV/1.0 QUIT
2025-09-18 18:58:05,348 - INFO - Response tới ('127.0.0.1', 53222): 200 OK bye
2025-09-18 18:58:05,348 - INFO - Đã đóng kết nối với ('127.0.0.1', 53222)
